uid,rest_id,source,text,rating
g_ChIJjybX-nVZwokRbnwwPvjMw4o_3,ChIJjybX-nVZwokRbnwwPvjMw4o,google_places,"We had the tasting menu here for our anniversary dinner. It was an excellent choice.

We started with a drink at the bar. The bartender was pleasant and made us some excellent cocktails to get started.

There is an Asian overtone that runs through the meal (the coddled egg, the tuna and the beef all have Asian influences). Having lived in Japan at one time, we like that a lot. Everything was delicious, but I would say the highlights for us were the beet salad and the Wagyu beef. The salad was incredibly fresh and bursting with flavors. The beef, served with pistachio broccoli, which was also excellent, was done perfectly. We asked for rare and were glad we did with such delicious meat. The sauce with it is also delicious but the meat itself is the star. You’ll just need to try it!

The Strawberry shortcake, and this is from someone that doesn’t usually even eat dessert, was outstanding!  They also gave us an extra lemon meringue-like dish for our anniversary.

The dining room is constantly busy with staff, but they never made us feel like they were hovering over us. They were always very pleasant and friendly and took the time to explain and answer our questions.

A pricey meal yes, but worth the price if that’s what you want. It is very fine dining in midtown Manhattan after all.",5
g_ChIJjybX-nVZwokRbnwwPvjMw4o_4,ChIJjybX-nVZwokRbnwwPvjMw4o,google_places,"At #Citadel's global headquarters, Jean-Georges' #FourTwentyFive Restaurant sets a fresh benchmark for #culinary distinction, fusing #elegance with #warmth to create a truly #immersive dining experience. I #Love Team Four Twenty Five. I had the pleasure of #collaborating with #ExecutiveChefJonBenno and #GMPatrick #Faille to #craft special dishes for my business meeting, and I am still #savoring the #exquisite #appetizers - #shrimp skewers & #potatopuffs topped with #caviar were truly spectacular! My party of 5 guests were beaming with #delight as we #indulged in each of Jon's carefully #curated selections. A #Gorgeous open kitchen showcases an #amazing team - busily preparing a #variety of #selections. I return #frequently, #inspired by the #exceptional #food quality, presentation, service. The #delectable tastes and inviting #ambiance motivate me to become a #regular, returning weekly. My guests #adore the #indulgent environment, making it a win-win!
#Bonnie from NYC.
#JonBenno #PatrickFaille #CitadelHeadquarters
#JeanGeorges #FourTwentyFive Bonnie-NYC",5
g_ChIJISXTwWJZwokRIok4xyMeb6g_0,ChIJISXTwWJZwokRIok4xyMeb6g,google_places,"Had a great evening at One White Street. The service was outstanding, and they gave me a perfect seat at the bar with a great view of the chefs in action. I started with a salad that was incredibly fresh and flavorful, full of green beans, cherry tomatoes, and cucumbers sourced from the restaurant’s own farm. For my main, I went with their much-hyped burger since it was my first time here—and wow, did it deliver. So beefy and juicy, and the Stilton just took it over the top. Definitely one of the best burgers in the city. Finished with the fig tart, which was an outstanding way to end the meal. Overall, a fantastic dinner. I’ll definitely be back.",5
g_ChIJISXTwWJZwokRIok4xyMeb6g_1,ChIJISXTwWJZwokRIok4xyMeb6g,google_places,"We had the 5 course tasting menu with intermezzo included.  Food was excellent. I really enjoyed the breads (free seconds) and Waygu beef.  However, when I peaked over to the couple next to us, I wish I ordered a la carte.  The burger looked so yummy.  That wasn’t included in the tasting menu.  Overall, I believe a la carte would have been a better value.",5
g_ChIJISXTwWJZwokRIok4xyMeb6g_2,ChIJISXTwWJZwokRIok4xyMeb6g,google_places,"One White Street is simply one of the most chic night outs one could ask for. A subtle yet glamorous atmosphere lends way to one of the most fabulous gastronomic journey you will ever embark upon. Very accommodating to a gluten free diet!!!

Big thanks to our server Sam, for their knowledge, and fine dining finesse!

We started with the Rigor Hill Farm Salad, which stars radicchio, its bitter taste uplifted with the house made blood orange vin, shaved fennel, and honey goat Gouda. A definite must have for your table.

Up next was the tamari glazed mushrooms. Earthy and delicately seasoned. The flavors used really complimented the umami rich mushroom.

For our next round we ordered the 1WS burger. A mouthwatering premium meat burger with house made pickles and bun. Truly a showstopper.

Our sides included: an order of crispy potatoes, which had such a lovely texture, the pickled garlic scapes really added an extra wow factor; and the celery root and leek gratin, which was so wholesome and really celebrated both of the vegetables natural flavors without adding too much.

For dessert we were treated to a gluten free chocolate cake which was to die for, and separately a horchata ice cream served with jam. An absolutely stellar way to end the dinner.

Overall it was such an amazing experience I’m already planning on going back with my whole family. The entire team at 1WS is one of the best and most accommodating I’ve experienced in the entire city. Thank you for giving me and my sister an incredible night!!!",5
g_ChIJISXTwWJZwokRIok4xyMeb6g_3,ChIJISXTwWJZwokRIok4xyMeb6g,google_places,"I visited this restaurant on the 7th of October and had a reasonably good time. I ordered the Wagyu Burger, which was absolutely lovely. It was perfectly cooked and full of flavour. I had a brief chat with the chef (lovely south asian girl) while I was there, and she was so warm and genuine. I complimented her on the burger, as it really was excellent.

The service was okay - I had three different servers throughout my visit. They all seemed nice enough, though a bit ambivalent or slightly off in their interactions. It might’ve just been the start of their shift or a quiet moment, but the energy felt a little subdued.

Overall, though, it’s a nice spot and one I’d certainly recommend.",4
g_ChIJISXTwWJZwokRIok4xyMeb6g_4,ChIJISXTwWJZwokRIok4xyMeb6g,google_places,Had an awesome time at One White Street on a recent trip to NYC. I was a solo diner and was sat in the bar area. It was a vibrant space with a lot of energy. The food was fantastic and the drink pairing fluctuated with the meal nicely. Great date spot.,5
g_ChIJjcAJd-tZwokRJ0GkkJ2Urp0_0,ChIJjcAJd-tZwokRJ0GkkJ2Urp0,google_places,"I was in NYC for a girl's trip a few weekends ago and we went to Le Pavillon for dinner before our Broadway show. The meal was unforgettable! The food was delicious, beautifully presented, and perfectly portioned. We had the 3 course fixed menu. The staff was attentive, friendly, funny and engaging. The atmosphere was relaxed and warm. It wasn't too loud and had a beautiful view of the Chrysler building. Would definitely recommend and return to as well.",5
g_ChIJjcAJd-tZwokRJ0GkkJ2Urp0_1,ChIJjcAJd-tZwokRJ0GkkJ2Urp0,google_places,"Visited on Valentine’s Day and ordered the holiday set menu. The space feels comfortable and airy, with high ceilings that make the dining room feel open and relaxed. Real indoor plants are placed throughout the seating area, adding a pleasant touch of greenery while also softening the noise and creating a calm atmosphere.

The set menu is thoughtfully designed. Each of the four courses offers three options, allowing both diners to choose different dishes and try a wider range of flavors. Overall, the food was satisfying across the board. The only drawback was the lobster pasta, which was a bit too firmer than I prefer. However, the scallops, as another option, were delicious, with both the texture and flavor being truly enjoyable.

Portion sizes follow the typical date-night approach. Nothing feels overly heavy, but the meal remains filling enough to feel complete. It makes for a nice spot for a date, and the row of hanging lights above the bar adds a polished, romantic touch to the space.",5
g_ChIJjcAJd-tZwokRJ0GkkJ2Urp0_2,ChIJjcAJd-tZwokRJ0GkkJ2Urp0,google_places,"The Pavilion Restaurant is a wonderful choice for a romantic dinner or to celebrate a special occasion. The setting is beautiful, with a quiet and intimate ambiance that makes it easy to enjoy meaningful conversations without feeling rushed or distracted. It’s the kind of place where you can truly relax and be present with the people you’re dining with.

The menu offers a great selection of food and wine, with options that feel thoughtfully curated and perfect for a special night out. Each dish is well-prepared and flavorful, and the wine list complements the menu nicely.

The service was good overall—attentive and professional—though there was a bit of a wait between courses. That said, it didn’t take away from the overall experience.

All things considered, I’d rate Pavilion Restaurant an 8.5/10. A lovely spot for date nights, anniversaries, or any celebration worth savoring.",4
g_ChIJjcAJd-tZwokRJ0GkkJ2Urp0_3,ChIJjcAJd-tZwokRJ0GkkJ2Urp0,google_places,"Excellent meal for my friend's birthday. The service was attentive while remaining at a distance. In addition the vibe was fancy without pretension. Ok but let's talk about the food.

The best thing I ate was probably the onion tart. The tart was an excellent start to a meal, an appetizer with a soup's depth. The onions are really well made, firm yet easily chewable, with a good tart base. The cheese foam added salt and funk to the onion well.

The steak was well made but the real fun for that dish was the short rib croquette and the caramelized onion. Those were really flavorful and strong. Going after the onion tart worked too; I recommend choosing the same flavor twice for courses 1 and 2.

The fig dessert was pretty and good. The cream provided a good contrast to the fig, with the mille feuille adding texture to those two.

The wine selection is expectedly good, as is the cocktails. But I don't recommend the egg white drink, the flavor is muted.

Overall a great experience, fine dining but with a price point that is not the craziest. I want to be at the bar next to try their bar menu.",5
